"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Megaball","Megaplier","Jackpot"
"04/14/2017","73","5","10","60","55","12","5","30000000.0000"
"04/11/2017","34","38","35","49","19","8","5","25000000.0000"
"04/07/2017","43","69","33","47","30","15","5","20000000.0000"
"04/04/2017","35","24","13","34","55","9","5","15000000.0000"
"03/31/2017","32","27","58","17","24","10","3","174000000.0000"
"03/28/2017","35","30","46","37","33","10","5","162000000.0000"
"03/24/2017","37","69","61","28","5","1","5","151000000.0000"
"03/21/2017","45","4","53","75","73","7","3","140000000.0000"
"03/17/2017","58","31","11","27","60","10","4","131000000.0000"
"03/14/2017","16","59","33","28","23","13","3","119000000.0000"
"03/10/2017","38","42","70","26","58","5","5","106000000.0000"
"03/07/2017","30","68","3","53","45","11","3","94000000.0000"
"03/03/2017","48","14","26","51","39","9","5","83000000.0000"
"02/28/2017","33","69","58","45","20","4","2","73000000.0000"
"02/24/2017","68","29","12","42","33","14","3","64000000.0000"
"02/21/2017","32","75","30","21","9","9","5","55000000.0000"
"02/17/2017","67","4","75","56","58","8","5","46000000.0000"
"02/14/2017","7","11","68","60","33","15","5","38000000.0000"
"02/10/2017","32","39","51","62","75","14","5","30000000.0000"
"02/07/2017","28","37","23","71","56","12","5","25000000.0000"
